timeStamp;youngGCCount;oldGCCount;gcDuration
26.04.2020 11:02;5;0;39
26.04.2020 11:03;2;0;24
26.04.2020 11:04;2;0;75
26.04.2020 11:05;8;0;53
26.04.2020 11:06;21;14;303
;38;14;494
